"av_wages_year_prev";"av_wages_year";"av_wages_quarter";"calculation_type";"calculation_code";"industry";"average_wages_growth";"average_wages_value_prev";"average_wages_value"
;2006;2;pøepoètenı;200;Penìnictví a pojišovnictví;;;38758
;2006;1;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";;;17219
;2006;1;pøepoètenı;200;Vzdìlávání;;;18177
;2006;4;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;;;16625
;2006;4;pøepoètenı;200;Administrativní a podpùrné èinnosti;;;15723
;2006;4;pøepoètenı;200;Zpracovatelskı prùmysl;;;19923
;2006;3;pøepoètenı;200;Ostatní èinnosti;;;16178
;2006;3;pøepoètenı;200;Doprava a skladování;;;19270
;2006;2;pøepoètenı;200;Tìba a dobıvání;;;24021
;2006;2;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;;;23857
;2006;1;pøepoètenı;200;Ubytování, stravování a pohostinství;;;11007
;2006;1;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;;;15750
;2006;1;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";;;17002
;2006;4;pøepoètenı;200;Vzdìlávání;;;22805
;2006;4;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";;;20858
;2006;3;pøepoètenı;200;Èinnosti v oblasti nemovitostí;;;18397
;2006;3;pøepoètenı;200;Informaèní a komunikaèní èinnosti;;;35164
;2006;2;pøepoètenı;200;Stavebnictví;;;17590
;2006;2;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";;;23220
;2006;2;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;;;29342
;2006;2;pøepoètenı;200;Zdravotní a sociální péèe;;;18805
;2006;1;pøepoètenı;200;Penìnictví a pojišovnictví;;;44198
;2006;4;pøepoètenı;200;Ubytování, stravování a pohostinství;;;12299
