"av_wages_year_prev";"av_wages_year";"av_wages_quarter";"calculation_type";"calculation_code";"industry";"average_wages_growth";"average_wages_value_prev";"average_wages_value";"industry_code"
;2000;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;;;9017;A
;2000;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;;;10207;A
;2000;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;;;10889;A
;2000;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;;;11696;A
2000;2001;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;9.74;9017;9895;A
2000;2001;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;8.86;10207;11111;A
2000;2001;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;8.82;10889;11849;A
2000;2001;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.06;11696;12873;A
2001;2002;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.39;9895;10626;A
2001;2002;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;3.93;11111;11548;A
2001;2002;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;3.98;11849;12321;A
2001;2002;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;-1.02;12873;12742;A
2002;2003;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;1.73;10626;10810;A
2002;2003;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;3.86;11548;11994;A
2002;2003;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;2.95;12321;12685;A
2002;2003;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;4.10;12742;13264;A
2003;2004;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.27;10810;11596;A
2003;2004;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;5.93;11994;12705;A
2003;2004;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;8.88;12685;13811;A
2003;2004;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;11.78;13264;14826;A
2004;2005;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;4.96;11596;12171;A
2004;2005;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;6.75;12705;13562;A
2004;2005;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;5.05;13811;14508;A
2004;2005;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;4.90;14826;15553;A
2005;2006;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;5.94;12171;12894;A
2005;2006;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;6.34;13562;14422;A
2005;2006;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;5.67;14508;15330;A
2005;2006;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;6.89;15553;16625;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;10.29;12894;14221;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.73;14422;15537;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;7.65;15330;16502;A
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;11.22;16625;18490;A
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;11.22;16625;18490;A
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;11.22;16625;18490;A
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;11.22;16625;18490;A
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;11.22;16625;18490;A
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;11.22;16625;18490;A
