"category_code";"category_name";"price";"price_year_prev";"price_year";"price_quarter";"price_growth";"price_growth_unit";"czechia_price_value_prev";"czechia_price_value"
117106;Mrkev; Kè / 1 kg;2006;2007;2;-13.77;%;18.3;15.78
114401;Jogurt bílý netuèný; Kè / 150 g;2006;2007;1;0.17;%;5.84;5.85
116103;Banány žluté; Kè / 1 kg;2006;2007;1;31.36;%;24.71;32.46
118101;Cukr krystalový; Kè / 1 kg;2006;2007;2;3.62;%;21.27;22.04
114701;Vejce slepièí èerstvá; Kè / 10 ks;2006;2007;1;-0.29;%;23.85;23.78
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2006;2007;1;-28.25;%;62.37;44.75
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2006;2007;2;-0.12;%;8.5;8.49
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2006;2007;1;-2.1;%;70.49;69.01
111602;Tìstoviny vajeèné; Kè / 1 kg;2006;2007;2;0.0;%;26.09;26.09
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2006;2007;2;12.52;%;21.09;23.73
112201;Vepøová peèenì s kostí; Kè / 1 kg;2006;2007;2;-1.94;%;102.27;100.29
111301;Chléb konzumní kmínový; Kè / 1 kg;2006;2007;2;18.46;%;15.44;18.29
112704;Šunkový salám; Kè / 1 kg;2006;2007;2;0.73;%;116.11;116.96
117106;Mrkev; Kè / 1 kg;2006;2007;1;0.07;%;14.49;14.5
116101;Pomeranèe; Kè / 1 kg;2006;2007;4;31.29;%;23.11;30.34
114501;Eidamská cihla; Kè / 1 kg;2006;2007;4;35.74;%;109.65;148.84
118101;Cukr krystalový; Kè / 1 kg;2006;2007;1;5.15;%;21.17;22.26
116104;Jablka konzumní; Kè / 1 kg;2006;2007;4;4.16;%;27.9;29.06
115101;Máslo; Kè / 1 kg;2006;2007;4;41.94;%;102.52;145.52
117103;Papriky; Kè / 1 kg;2006;2007;4;104.78;%;32.24;66.02
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2006;2007;1;-1.76;%;8.52;8.37
111602;Tìstoviny vajeèné; Kè / 1 kg;2006;2007;1;-1.07;%;26.27;25.99
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2006;2007;1;9.96;%;21.29;23.41
112201;Vepøová peèenì s kostí; Kè / 1 kg;2006;2007;1;-0.99;%;104.39;103.36
111301;Chléb konzumní kmínový; Kè / 1 kg;2006;2007;1;17.16;%;14.74;17.27
112704;Šunkový salám; Kè / 1 kg;2006;2007;1;1.56;%;115.34;117.14
116101;Pomeranèe; Kè / 1 kg;2006;2007;3;25.47;%;30.15;37.83
117401;Konzumní brambory; Kè / 1 kg;2006;2007;4;-31.3;%;13.93;9.57
114501;Eidamská cihla; Kè / 1 kg;2006;2007;3;8.73;%;110.34;119.97
116104;Jablka konzumní; Kè / 1 kg;2006;2007;3;29.16;%;25.96;33.53
122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2006;2007;4;1.31;%;7.61;7.71
115101;Máslo; Kè / 1 kg;2006;2007;3;8.71;%;102.5;111.43
117103;Papriky; Kè / 1 kg;2006;2007;3;60.38;%;33.39;53.55
114201;Mléko polotuèné pasterované; Kè / 1 l;2006;2007;4;20.17;%;14.53;17.46
112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2006;2007;4;0.64;%;168.99;170.07
111201;Pšenièná mouka hladká; Kè / 1 kg;2006;2007;4;43.36;%;7.45;10.68
112401;Kuøata kuchaná celá; Kè / 1 kg;2006;2007;4;34.34;%;45.58;61.23
111303;Peèivo pšenièné bílé; Kè / 1 kg;2006;2007;4;16.8;%;42.57;49.72
116101;Pomeranèe; Kè / 1 kg;2006;2007;2;15.13;%;24.79;28.54
