"av_wages_year_prev";"av_wages_year";"av_wages_quarter";"calculation_type";"calculation_code";"industry";"industry_code";"average_wages_growth";"average_wages_value_prev";"average_wages_value";"category_code";"category_name";"price";"price_year_prev";"price_year";"price_quarter";"price_growth";"price_growth_unit";"czechia_price_value_prev";"czechia_price_value";"amount_of_food_per_av_wages_prev";"amount_of_food_per_av_wages";"price_than_average_wages_growth"
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2006;2007;1;-1.76;%;8.52;8.37;1513.0;1699.0;12.29
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2006;2007;1;0.0;%;7.75;7.75;1663.0;1834.0;10.28
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;118101;Cukr krystalový; Kè / 1 kg;2006;2007;1;5.15;%;21.17;22.26;609.0;638.0;4.76
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;117401;Konzumní brambory; Kè / 1 kg;2006;2007;1;96.13;%;8.53;16.73;1511.0;850.0;-43.75
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;117106;Mrkev; Kè / 1 kg;2006;2007;1;0.07;%;14.49;14.5;889.0;980.0;10.24
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;117103;Papriky; Kè / 1 kg;2006;2007;1;104.56;%;35.97;73.58;358.0;193.0;-46.09
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;117101;Rajská jablka èervená kulatá; Kè / 1 kg;2006;2007;1;-28.25;%;62.37;44.75;206.0;317.0;53.88
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;116104;Jablka konzumní; Kè / 1 kg;2006;2007;1;-30.08;%;35.11;24.55;367.0;579.0;57.77
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;116103;Banány žluté; Kè / 1 kg;2006;2007;1;31.36;%;24.71;32.46;521.0;438.0;-15.93
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;116101;Pomeranèe; Kè / 1 kg;2006;2007;1;19.26;%;21.18;25.26;608.0;562.0;-7.57
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2006;2007;1;-2.1;%;70.49;69.01;182.0;206.0;13.19
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;115101;Máslo; Kè / 1 kg;2006;2007;1;-3.12;%;106.58;103.26;120.0;137.0;14.17
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;114701;Vejce slepièí èerstvá; Kè / 10 ks;2006;2007;1;-0.29;%;23.85;23.78;540.0;598.0;10.74
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;114501;Eidamská cihla; Kè / 1 kg;2006;2007;1;-1.42;%;112.99;111.38;114.0;127.0;11.4
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;114401;Jogurt bílý netuèný; Kè / 150 g;2006;2007;1;0.17;%;5.84;5.85;2207.0;2430.0;10.1
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;114201;Mléko polotuèné pasterované; Kè / 1 l;2006;2007;1;2.18;%;14.24;14.55;905.0;977.0;7.96
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;112704;Šunkový salám; Kè / 1 kg;2006;2007;1;1.56;%;115.34;117.14;111.0;121.0;9.01
